и	and	Мы здесь живем и работаем.|We live and work here.
в	in, to, into	Он вышел в коридор.|He went out into the corridor.
не	not	Я не хочу читать эту книгу.|I do not want to read this book.
на	on, onto	На стуле сидел пожилой мужчина.|An elderly man was sitting on the chair.
я	I, me	Я хочу тебя кое о чем попросить.|I want to ask you a favour.
быть	be	Ты был вчера в кино?|Were you at the cinema yesterday?
с	with, from, since	Я сделаю тебе чаю с лимоном.|I’ll make you a cup of tea with lemon.
он	he	Я надеялся, что он мой друг.|I hoped that he was my friend.
что	that	Мне очень приятно, что ты хочешь мне что-нибудь подарить.|I’m very happy that you want to give me something.
а	and, but	Меня зовут Кирилл. А тебя?|I’m called Kirill. And you?
это	this	Вы уже знаете это правило.|You already know this rule.
этот	this	Кто готовил этот обед?|Who cooked this lunch?
по	along	Они побежали по коридору.|They ran along the corridor.
к	to	Ты уже ходил к врачу?|Have you already been to the doctor’s?
но	but	Я хотела спать, но не могла заснуть.|I wanted to sleep, but I couldn’t drop off.
они	they	Они уже легли спать.|They have already gone to bed.
мы	we	Мы еще увидимся.|We will see each other again.
она	she	Она молодая женщина.|She’s a young woman.
как	how	Как пройти на почту?|How can I get to the post office?
то	that, what	Это не то, чего мы хотим.|This is not what we want.
который	which, what, who	Мы должны успеть на поезд, который отправляется в 6.15.|We need to make the train which leaves at 6:15.
из	from, of	Эти книги я привезла из Москвы.|I brought these books from Moscow.
у	by, at	Кресло стоит у окна.|The armchair is by the window.
свой	one’s (own)	У нее есть свой ключ.|She has her own key.
вы	you	Вы турист или бизнесмен?|Are you a tourist or a businessman?
весь	all, whole	Там собрался весь Старгород.|The whole of Stargorod was there.
за	after, behind, for	Огромное Вам спасибо за присланную книгу!|Many thanks for sending the book!
для	for	У меня для тебя две новости: хорошая и плохая.|I have two pieces of news for you: one good, one bad.
от	from, against	В этой женщине было что-то, отличавшее её от всех других.|There was something about this woman that distinguished her from all the others.
мочь	be able	Я могу писать и разговаривать на белорусском языке.|I can write and speak Belarusian.
так	so	Он так много работает!|He works so much!
ты	you	Алиса, ты с нами пойдешь?|Alisa, will you come with us?
о	about	А теперь вы расскажите о себе.|And now you tell me about yourself.
что	what	Что ты хочешь сказать?|What do you mean?
