der|the|Der Mann und die Frau kochen, das Kind spielt.|The man and the woman are cooking; the child is playing.
der|that, those|Das ist der Mann, den ich liebe.|That’s the man I love.
der|who, that|Dort steht das Mädchen, das mit mir zur Schule geht.|There’s the girl who goes to school with me.
und|and|Die Eltern und Kinder essen und sprechen über ihren Tag.|The parents and children eat and talk about their day.
in|in|Günter geht in den Keller.|Günter goes into the basement.
sein|to be|Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.|I’m a teacher, and you’re a police officer, and we’re happy with that.
ein|a, an|Er wohnt in einem Hotel.|He’s staying at a hotel.
ein|one (of)|Eines der Kinder hat sich beim Spielen verletzt.|One of the children was injured while playing.
haben|to have|Ich habe ein Buch in der Hand.|I have a book in my hand.
sie|she, her|Paul besucht Anna, sie ist Pauls Tante.|Paul visits Anna; she’s Paul’s aunt.
sie|they, them|Petra und Klaus kochen, sie bekommen Besuch.|Petra and Klaus are cooking; they have a visitor.
sie|you|Ich bitte Sie um Ihr Verständnis.|I ask you for your understanding.
werden|to become, get|Der Junge wird zum Mann.|The boy becomes a man.
von|from, of|Benjamin ist der Bruder von Anna.|Benjamin is the brother of Anna.
ich|I|Ich arbeite und du bleibst zu Hause.|I work and you stay home.
nicht|not|Im Restaurant darf man nicht rauchen.|You can’t smoke in the restaurant.
es|it|Das Kind geht ins Bett, es ist müde.|The child goes to bed; she is tired.
mit|with|Mein Bruder spielt mit Janosch Fußball im Garten.|My brother plays soccer in the garden with Janosch.
sich|-self|Das Kind sieht sich im Spiegel.|The child sees itself in the mirror.
er|he|Jan hat gute Noten in der Schule, er ist ein kluges Kind.|Jan has good grades in school; he’s a smart child.
auf|on, at, to|Auf dem Tisch steht ein Glas Wasser.|There’s a glass of water on the table.
für|for|Sie macht einen Kaffee für Max.|She’s making coffee for Max.
auch|also, too|Auch ich habe Geburtstag, nicht nur Markus.|It’s my birthday too, not just Markus’s.
an|at, on|Das Bild hängt an der Wand.|The picture hangs on the wall.
dass|that|Ich vermute, dass der Zug wieder zu spät kommt.|I suspect the train will be late again.
zu|to|Ich versuche, dich zu verstehen.|I’m trying to understand you.
zu|to|Heute gehe ich zu meiner Nachbarin.|Today I go to my neighbor.
zu|too|Es ist zu kalt für eine Party im Garten.|It’s too cold for a party in the garden.
als|as, when|Als ich nach Hause komme, ist es schon dunkel.|When I get home, it’s already dark.
als|than|Tim ist Paulas großer Bruder, weil er älter ist als sie.|Tim is Paula’s big brother because he’s older than she is.
können|to be able to, can|Die Kinder können schon Fahrrad fahren.|The children can already ride bicycles.
dies|this, that|Besonders dieses Bild gefällt mir sehr.|I especially like this picture.
wie|how|Wie lange dauert es?|How long does it take?
wie|as|Johanna ist so alt wie Matthias.|Johanna is as old as Matthias.
wir|we|Fernando und ich wollen Urlaub machen, wir fahren im Sommer.|Fernando and I are going on vacation; we’re going in summer.
ihr|you, her|Das Mädchen ärgert ihren Bruder.|The girl annoys her brother.
ihr|her, their, hers, theirs|Die Familie plant ihren Urlaub bereits im Winter.|The family plans their vacation already in winter.
ihr|your|Bitte geben Sie Ihr Blatt am Ende der Stunde ab.|Please hand in your paper at the end of the lesson.
so|so, thus, the way, such|Ich beobachte Klaus und mache alles so wie er.|I watch Klaus and do everything the way he does.
so|so|Das Wetter ist heute so schön.|The weather is so nice today.
bei|by, with, at|Jan ist bei einem neuen Arzt.|Jan’s with a new doctor.
