el/la	the	el diccionario tenía también frases útiles|the dictionary also had useful phrases
de	of, from	es el hijo de un amigo mío|he is the son of a friend of mine
que	that, which	dice que no quiere estudiar|he says that he doesn’t want to study
y	and	saben leer y escribir|they know how to read and write
en	in, on	vivo en el segundo piso|I live on the second floor
un	a, an	era un hombre simpático|he was a nice man
ser	to be (norm)	la primera persona narrativa puede ser por el protagonista|the first-person narrative can be through the protagonist
a	to, at	me voy al extranjero por el verano|I am going abroad for the summer
él	he, [ellos] them (m)	él es bastante simpático|he is very nice
lo	the (+neut)	lo mejor es estudiar mucho|the best thing is to study a lot
no	no	no tiene dinero|he has no money
su	his/her/their/your (–fam)	¿Quién era? ¿Su hermana? ¿Su amiga?|Who was it? His sister? Her friend?
haber	to have (+Ved)	no ha dicho nada|he hasn’t said a thing
con	with	hay un hombre con ella|there is a man with her
por	by, for, through	caminamos por el parque|we walked through the park
para	for, to, in order to	¡Tengo una sorpresa sensacional para ti!|I have a wonderful surprise for you!
mí	me (obj prep)	el regalo era para mí|the gift was for me
lo	[3rd person] (dir obj-m)	lo compré en la tienda|I bought it at the store
tener	to have	Mi padre tiene varios relojes antiguos.|My father has several antique watches.
como	like, as	ser compositor en España es como ser torero en Finlandia|being a composer in Spain is like being a bullfighter in Finland
estar	to be (location, change from norm)	él está en el trabajo|he is at work
me	me (obj)	¿Cuando me va a llamar?|When is he going to call me?
más	more	él necesitaba más dinero|he needed more money
este	this (m) [esta (f)]	es igual en el este como en el oeste|it is the same in the east as in the west
le	[3rd person] (indir obj)	nunca le dijo la verdad|she never told him the truth
hacer	to do, make	he podido hacer lo que me gusta|I have been able to do what I like
se	[“reflexive” marker]	el saber de los geógrafos griegos se difundió por Europa|Greek knowledge of geography spread throughout Europe
yo	I (subj)	¡Yo soy el padre!|I am the father!
o	or	sí esperaba uno o dos muertos|yes, he expected one or two deaths
pero	but, yet, except	no significa nada para mí, pero no puedo olvidarla|it means nothing to me, but I can’t forget it
decir	to tell, say	Parece que dice la verdad.|It seems like he is telling the truth.
poder	to be able to, can	Con estos datos se puede tener una primera idea del mecanismo.|With these facts we can begin to understand the mechanism
ir	to go	¿Quieres ir a la playa este fin de semana?|Do you want to go to the beach this weekend?
ese	that (m) [esa (f)]	¿Dónde viven esas mujeres?|Where do these women live?
otro	other, another	No comparte su taxi nunca conotrosviajeros a menos que les conoce.|Don’t share your taxi with other travelers unless you know them.
si	if, whether	si quiere cazar, vamos a cazar|if he wants to hunt, let’s go hunting
mi	my	mi casa es su casa|my house is your house
ver	to see	había que subir para ver las ruinas|you have to climb up to see the ruins
ya	already, still	su marido ya ha dicho todo|her husband has already said it all
porque	because	lo vendo sólo porque tengo un problema muy grande|I am only selling it because I am in a predicament
mucho	much, many, a lot (ADV)	por lo visto tienen mucho dinero|apparently they have a lot of money
dar	to give	me dio esta carta para ud|he gave me this letter for you
muy	very, really	está muy contento con mi trabajo|she is very happy with my work
saber	to know (a fact), find out	se necesita humildad para saber reconocer las propias faltas|you need humility to know how to recognize your own faults
sí	yes	quiero una respuesta concreta: sí o no|I need a solid answer: yes or no
año	year	no lo supo hasta casi un año después|he didn’t find out until almost a year later
ti	you (obj prep-sg/+fam)	no, la carta no es para ti|no, the letter is not for you
te	you (obj/+fam)	¿No te han hablado?|They haven’t spoken with you?
también	also	también habla italiano|she speaks Italian as well
qué	what?, which?, how (+ADJ)!	no sé qué voy a hacer|I don’t know what I’m going to do
alguno	some, a few	habló algunas palabras con el agente de negocios|he spoke a few words with the business agent
nos	us (obj)	nos vio en la calle|he saw us on the street
tu	your (+fam)	ésta es tu casa y ésta es tu cama|this is your house and this is your bed
sin	without	se habían quedado sin dinero|they were left without money
mismo	same	pronunciando el mismo discurso en siete idiomas|giving the same speech in seven languages
eso	that (n)	y eso no es todo|and that isn’t everything
cuando	when	aquel libro es de mis nietos, cuando eran bebes todavía|that book belonged to my grandchildren, when they were still babies
querer	to want, love	quiero que este proceso salga con limpieza|I want this process to go cleanly
vez	time (specific occurrence); en v. de: instead of	es la primera vez que estoy junto al mar|this is the first time that I have been near to the sea
hasta	until, up to, even (ADV)	toda la noche, hasta las tres de la mañana|all night long, until three in the morning
la	[3rd person] (dir obj-f)	la puso en su bolsillo|he put it in his pocket
sobre	on top of, over, about	dejó el papel sobre la mesa y se fue|he left the paper on top of the table and left
entre	between, among	la cosa es entre tú y yo|the matter is between you and me
dos	two	la familia se reúne cada dos años|the family gets together every two years
día	day	cada día hay más problemas|every day there are more problems
grande	large, great, big	tiene los grandes ojos negros y bonitos|she has the biggest and most beautiful black eyes
así	like that	la vida es así|life is like that
pasar	to pass, spend (time)	no ha pasado ni un bus|not a single bus has passed by
cosa	thing	estoy ya interesado en otra cosa|I am interested in a different matter
desde	from, since	Lo habia pensado desde el principio que era una mal idea.|I thought from the beginning that this was a bad idea.
deber	should, ought to; to owe	la cosa está en el lugar donde debe estar|the thing is in the place where it should be
ella	she, [ellas] them (f)	ella es muy estudiosa|she is very studious
pues	then, well then	pues, venga usted cuando quiera|well then, come whenever you want
entonces	so, then	vamos entonces a cambiarlo|then we are going to change it
llegar	to arrive	por fin llegamos al fondo de la catarata|we finally arrived at the bottom of the waterfall
poco	little, few, a little bit (adv)	trabajó poco tiempo con él|he worked a little while with him
nuestro	our	no servía para nuestro país porque somos diferentes|it was no good for our contry because we’re different
bien	well	el número de bienes que pueda poseer en un momento dado|the number of goods one possesses in a given moment
ni	not even, neither, nor	pero ni eso me tranquilizó|but not even that reassured me
tiempo	time (general)	ha estado mucho tiempo con ella|he has been with her a long time
ahora	now	lo importante ahora es contarte lo que le pasó|the important thing now is to tell you what happened
primero	first	Primero, vamos a ir al supermercado.|First, we are going to go to the grocery store.
creer	to believe, think	creo en la justicia de Dios|I believe in the justice of God
donde	where	no sé donde está la llave|I don’t know where the key is
vida	life	ha dedicado toda la vida a la música|she has dedicated her life to music
dejar	to let, leave	ella no dejó que yo lo olvidara|she didn’t let me forget it
nada	nothing, (not) at all	no hay nada que hacer|there is nothing to do
tanto	so much, so many	no podía creer que haya tanta gente junta|I couldn’t believe there were so many people together
parecer	to seem, look like	Mi burra es tan flaca parece un esqueleto.|My donkey is so thin he looks like a skeleton.
hablar	to speak, talk	algunos hablan quechua, español, e inglés|some of them speak Quechua, Spanish, and English
poner	to put (on), get (+ADJ)	puso el cuchillo en la mano|he put the knife in his hand
parte	part, portion	el arte es una parte tan importante de la cultura|art is such an important part of culture
eh	eh	Te interesa esta bufanda, ¿eh?|You are interested in this scarf, eh?
nuevo	new	marcaba el comienzo de una nueva vida para mí|it marked the beginning of a new life for me
sólo	only, just	no siempre vestía ropa de mujer; sólo en carnaval|I don’t always wear women’s clothes; only during carnival
siempre	always, forever	siempre ha sido así|she has always been like that
hombre	man, mankind, husband	yo soy un hombre de pocas necesidades|I am a man of few needs
bueno	well . . .	Bueno, ¿y ahora qué hacemos?|Well, so what are we going to do now?
seguir	to follow, keep on	no la puedo seguir porque habla demasiado rápido|I couldn’t keep up because she was speaking so quickly
quedar	to remain, stay	El aire empezó a quedarse quieto.|The air began to remain still.
llevar	to take, carry	colgado al hombro llevaba un bolso|the man carried a bag over his shoulder
encontrar	to find	encontró un lugar apropiado para instalar la sucursal|he found a suitable place to set up the office
bueno	good	Bueno, ¿y ahora qué hacemos?|Well, so what are we going to do now?
tan	such, as, too, so	¡Tiene unas orejas tan grandes!|His ears are so big!
pensar	to think	trataba de pensar de dónde podría sacar el dinero|he tried to think of where he could get some money
casa	house	bienvenido a mi casa|welcome to my home
cada	each, every	aprendo cada día un poco más|I learn a little more each day
persona	person	era una persona de mucho talento|she was a very talented person
país	country	ha viajado por todos los países de las Américas|he has traveled through all the countries in the Americas
algo	something, somewhat	tengo algo que decirte|I have something to tell you
esto	this (n)	quiero esto o aquello|I want this or that
volver	to return, to V again	Los habitantes afectados pueden volver a sus casas.|Affected people can return to their homes.
usted	you (subj/–fam)	¿Cómo está usted?|How are you?
salir	to leave, go out	¿A qué hora sale el tren?|What time does the train leave?
después	after	vamos a dar un paseo después de comer|we are going to go for a walk after eating
mejor	best, better (ADV)	yo, al fin y al cabo, soy el mejor amigo|I, after all, am the best friend
menos	less, fewer	no vale más ni menos que la anterior|it is worth no more nor less than the previous one
venir	to come	unos afirman que el jazz viene de África|some say jazz comes from Africa
forma	form, shape, way	necesito estar en buena forma física|I need to be in good physical shape
mujer	woman, wife	su mamá es una mujer muy enferma y no puede trabajar|your mother is a very sick woman and she cannot work
momento	moment, time	estaba pasando uno de los peores momentos de mi vida|I was having one of the worst moments of my life
llamar	to call, name	el juez se llamaba Pedro Barreda|the judge was named Pedro Barreda
mundo	world	no se parecía a ninguna ciudad del mundo|it didn’t look like any other city in the world
claro	clear	Eres genial por explicarlo de forma tan clara.|It is so nice of you to explain it in such a clear way.
mirar	to look, watch	miraba distraída a las estrellas|I gazed absentmindedly at the stars
medios	means, resources	No cuenta con los medios suficientes para comprar los medicamentos que necesita.|He doesn’t have the means to buy the medicine he needs.
mientras	while, whereas, as long as	nos miró mientras comía un gran trozo de pan|he looked at us while eating a big piece of bread
conocer	to know (someone or place)	ella conoce muy bien a Nicolás|she knows Nicholas very well
aquel	that (over there)	unos veinte millones de pesetas (de aquella época)|about twenty million pesetas (at that time)
aquí	here	¡Aquí hay dos también!|There are two here as well!
aunque	although, even though	aunque hay problemas, muchos se pueden evitar|even though there are problems, many can be avoided
quien	who, whom	¿Quién sabe el título de la película?|Who knows the name of the movie?
tomar	to take, drink	mi padre tomó un sorbo de agua y continuó hablando|my father drank a sip of water and continued speaking
tres	three	hay tres direcciones: diagonal, horizontal, y vertical|there are three directions: diagonal, horizontal, and vertical
mano	hand	se pueden contar con los dedos de la mano|you can can count with the fingers on one hand
sentir	to feel, regret	es una expresión personal de un sentir personal de él|it is a personal expression of his personal feeling
gente	people	la gente tiene miedo de perder su identidad|people are scared of losing their identity
cuándo	when?	¿Cuándo vuelven? preguntó|When do they return? he asked
durante	during	durante una semana traté de no verla|during the week I tried not to see her
hijo	son, [pl] children	cada padre espera que su hijo sea más que él|every father hopes that his child will be more than him
tratar	to try, treat, deal with	Traté de aprender español, pero es muy difícil.|I tried to learn Spanish, but it is very difficult.
vivir	to live	vamos a Buenos Aires, a vivir en la miseria|I am going to Buenos Aires to live in poverty
sino	but, except, rather	no somos nosotros el centro sino ella|we are not the focus, but rather she is
lugar	place, position	es el lugar más lindo de la costa|it is the most beautiful place on the coast
